;Date;Start (ET);Visitor/Neutral;PTS;Home/Neutral;PTS;BoxScore;OT;Attend.;Notes;Y-M
0;Tue, Nov 1, 2005;7:00p;Milwaukee Bucks;117;Philadelphia 76ers;108;Box Score;OT;17,705;;[2005, 11]
1;Tue, Nov 1, 2005;8:00p;Sacramento Kings;67;New Orleans Pelicans;93;Box Score;;19,163;;[2005, 11]
2;Tue, Nov 1, 2005;8:00p;Denver Nuggets;91;San Antonio Spurs;102;Box Score;;18,797;;[2005, 11]
3;Tue, Nov 1, 2005;10:30p;Dallas Mavericks;111;Phoenix Suns;108;Box Score;2OT;17,961;;[2005, 11]
4;Wed, Nov 2, 2005;7:00p;New Orleans Pelicans;87;Cleveland Cavaliers;109;Box Score;;20,562;;[2005, 11]
5;Wed, Nov 2, 2005;7:00p;Indiana Pacers;90;Orlando Magic;78;Box Score;;17,283;;[2005, 11]
6;Wed, Nov 2, 2005;7:00p;Washington Wizards;99;Toronto Raptors;96;Box Score;;18,106;;[2005, 11]
7;Wed, Nov 2, 2005;7:30p;New York Knicks;100;Boston Celtics;114;Box Score;OT;18,624;;[2005, 11]
8;Wed, Nov 2, 2005;7:30p;Milwaukee Bucks;110;Brooklyn Nets;96;Box Score;;20,098;;[2005, 11]
9;Wed, Nov 2, 2005;8:00p;Philadelphia 76ers;88;Detroit Pistons;108;Box Score;;22,076;;[2005, 11]
10;Wed, Nov 2, 2005;8:00p;Miami Heat;97;Memphis Grizzlies;78;Box Score;;18,119;;[2005, 11]
11;Wed, Nov 2, 2005;8:00p;Portland Trail Blazers;86;Minnesota Timberwolves;90;Box Score;;16,799;;[2005, 11]
12;Wed, Nov 2, 2005;8:30p;Charlotte Hornets;105;Chicago Bulls;109;Box Score;OT;19,251;;[2005, 11]
13;Wed, Nov 2, 2005;8:30p;Sacramento Kings;89;Houston Rockets;98;Box Score;;16,457;;[2005, 11]
14;Wed, Nov 2, 2005;9:00p;Dallas Mavericks;82;Utah Jazz;93;Box Score;;18,249;;[2005, 11]
15;Wed, Nov 2, 2005;10:00p;LA Clippers;101;Oklahoma City Thunder;93;Box Score;;16,515;;[2005, 11]
16;Wed, Nov 2, 2005;10:30p;Los Angeles Lakers;99;Denver Nuggets;97;Box Score;OT;19,245;;[2005, 11]
17;Wed, Nov 2, 2005;10:30p;Atlanta Hawks;97;Golden State Warriors;122;Box Score;;18,629;;[2005, 11]
18;Thu, Nov 3, 2005;8:00p;Indiana Pacers;105;Miami Heat;102;Box Score;;20,128;;[2005, 11]
19;Thu, Nov 3, 2005;10:30p;Phoenix Suns;122;Los Angeles Lakers;112;Box Score;;18,997;;[2005, 11]
20;Fri, Nov 4, 2005;7:00p;Memphis Grizzlies;94;Orlando Magic;85;Box Score;;14,942;;[2005, 11]
21;Fri, Nov 4, 2005;7:00p;Charlotte Hornets;110;Philadelphia 76ers;93;Box Score;;14,654;;[2005, 11]
22;Fri, Nov 4, 2005;7:00p;Brooklyn Nets;102;Toronto Raptors;92;Box Score;;18,586;;[2005, 11]
23;Fri, Nov 4, 2005;7:30p;Detroit Pistons;82;Boston Celtics;81;Box Score;;16,642;;[2005, 11]
24;Fri, Nov 4, 2005;7:30p;Washington Wizards;86;New York Knicks;75;Box Score;;19,763;;[2005, 11]
25;Fri, Nov 4, 2005;8:00p;Cleveland Cavaliers;76;San Antonio Spurs;102;Box Score;;18,797;;[2005, 11]
26;Fri, Nov 4, 2005;9:00p;Portland Trail Blazers;68;Denver Nuggets;107;Box Score;;15,595;;[2005, 11]
27;Fri, Nov 4, 2005;10:30p;Utah Jazz;91;Golden State Warriors;85;Box Score;;18,416;;[2005, 11]
28;Fri, Nov 4, 2005;10:30p;Atlanta Hawks;77;LA Clippers;92;Box Score;;16,813;;[2005, 11]
29;Fri, Nov 4, 2005;10:30p;Minnesota Timberwolves;102;Oklahoma City Thunder;107;Box Score;OT;17,072;;[2005, 11]
30;Sat, Nov 5, 2005;7:00p;Orlando Magic;79;Washington Wizards;87;Box Score;;20,173;;[2005, 11]
31;Sat, Nov 5, 2005;7:30p;Boston Celtics;105;Charlotte Hornets;107;Box Score;OT;19,026;;[2005, 11]
32;Sat, Nov 5, 2005;7:30p;Toronto Raptors;84;Detroit Pistons;117;Box Score;;22,076;;[2005, 11]
33;Sat, Nov 5, 2005;7:30p;Chicago Bulls;99;Brooklyn Nets;100;Box Score;;16,898;;[2005, 11]
34;Sat, Nov 5, 2005;8:00p;Philadelphia 76ers;111;Indiana Pacers;109;Box Score;;18,345;;[2005, 11]
35;Sat, Nov 5, 2005;8:00p;Cleveland Cavaliers;106;Memphis Grizzlies;113;Box Score;;17,368;;[2005, 11]
36;Sat, Nov 5, 2005;8:30p;San Antonio Spurs;84;Dallas Mavericks;103;Box Score;;20,468;;[2005, 11]
37;Sat, Nov 5, 2005;8:30p;New Orleans Pelicans;91;Houston Rockets;84;Box Score;;15,875;;[2005, 11]
38;Sat, Nov 5, 2005;8:30p;Miami Heat;100;Milwaukee Bucks;105;Box Score;;18,717;;[2005, 11]
39;Sat, Nov 5, 2005;9:00p;Phoenix Suns;97;Utah Jazz;88;Box Score;;18,608;;[2005, 11]
40;Sat, Nov 5, 2005;10:00p;Atlanta Hawks;93;Portland Trail Blazers;94;Box Score;;18,918;;[2005, 11]
41;Sat, Nov 5, 2005;10:30p;Minnesota Timberwolves;99;LA Clippers;100;Box Score;OT;16,212;;[2005, 11]
42;Sun, Nov 6, 2005;1:00p;Golden State Warriors;83;New York Knicks;81;Box Score;;16,221;;[2005, 11]
43;Sun, Nov 6, 2005;8:00p;Sacramento Kings;118;Phoenix Suns;117;Box Score;;17,298;;[2005, 11]
44;Sun, Nov 6, 2005;9:30p;Denver Nuggets;92;Los Angeles Lakers;112;Box Score;;18,997;;[2005, 11]
